question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-b2-130,True,8,4,3,4,1,0.375,0.5,0,0,1,1,0.875,0.875,0
gsm-hard-b2-131,True,9,6,4,3,1,0.4444444444444444,0.3333333333333333,0,0,2,2,1.2222222222222223,1.2222222222222223,0
gsm-hard-b2-132,True,8,5,4,3,1,0.5,0.375,0,0,1,2,0.875,0.875,1
gsm-hard-b2-133,True,9,4,4,4,1,0.4444444444444444,0.4444444444444444,0,0,1,1,0.8888888888888888,0.8888888888888888,0
gsm-hard-b2-134,True,7,3,3,2,1,0.42857142857142855,0.2857142857142857,0,0,2,2,1.0,1.0,0
gsm-hard-b2-135,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,3,1.3333333333333333,1.3333333333333333,0
gsm-hard-b2-136,True,9,4,3,4,1,0.3333333333333333,0.4444444444444444,0,0,1,2,0.8888888888888888,0.8888888888888888,1
gsm-hard-b2-137,True,6,3,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,3,1.3333333333333333,1.3333333333333333,1
gsm-hard-b2-138,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,2,2,1.0,1.0,0
gsm-hard-b2-139,False,9,4,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,2,1.0,1.0,1
gsm-hard-b2-140,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-141,True,8,3,3,3,1,0.375,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-b2-142,True,10,5,4,5,1,0.4,0.5,0,0,1,1,0.9,0.9,0
gsm-hard-b2-143,True,9,4,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-b2-144,True,9,5,5,3,1,0.5555555555555556,0.3333333333333333,0,0,1,2,1.1111111111111112,1.1111111111111112,0
gsm-hard-b2-145,True,7,4,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-146,True,9,4,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,1,0.8888888888888888,0.8888888888888888,0
gsm-hard-b2-147,True,9,4,4,3,1,0.4444444444444444,0.3333333333333333,0,0,1,1,0.8888888888888888,0.8888888888888888,0
gsm-hard-b2-148,False,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,2,1.0,1.0,0
gsm-hard-b2-149,True,6,3,1,3,1,0.16666666666666666,0.5,0,0,1,2,1.3333333333333333,1.3333333333333333,0
